date;artist;track;spotify_data;album_name;album_release_date;track_popularity;artist_id
2022-06-28;Tears For Fears;THE TIPPING POINT;The Tipping Point|2022-02-25|52|4bthk9UfsYUYdcFyqxmSUU;The Tipping Point;2022-02-25;52.0;4bthk9UfsYUYdcFyqxmSUU
2022-06-28;Organek;DOPPELGANGER;Na razie stoję, na razie patrzę|2021-11-05|29|2cPIQ8eVSqSKGjBQXgi3WH;Na razie stoję, na razie patrzę;2021-11-05;29.0;2cPIQ8eVSqSKGjBQXgi3WH
2022-06-28;Eric Clapton;THIS HAS GOTTA STOP;This Has Gotta Stop|2021-08-27|42|6PAt558ZEZl0DmdXlnjMgD;This Has Gotta Stop;2021-08-27;42.0;6PAt558ZEZl0DmdXlnjMgD
2022-06-28;Marcin Nowakowski;NA RÓŻOWO;Na różowo|2021-10-21|14|3enFhWFiJILf4OYGcTPdMy;Na różowo;2021-10-21;14.0;3enFhWFiJILf4OYGcTPdMy
2022-06-28;Elton John;FINISH LINE;The Lockdown Sessions|2021-10-22|47|3PhoLpVuITZKcymswpck5b;The Lockdown Sessions;2021-10-22;47.0;3PhoLpVuITZKcymswpck5b
2022-06-28;Olivia Vedder, Eddie Vedder, Glen Hansard;MY FATHER'S DAUGHTER;My Father's Daughter (From The “Flag Day” Original Soundtrack)|2021-08-16|53|1cALtYxOIn4uWAfNdwcP4E;My Father's Daughter (From The “Flag Day” Original Soundtrack);2021-08-16;53.0;1cALtYxOIn4uWAfNdwcP4E
2022-06-28;Strachy Na Lachy;ZACHMURZONY W TOBIE;Piekło|2021-10-01|29|4DXXg7xzgKAEYeFhh9wAtk;Piekło;2021-10-01;29.0;4DXXg7xzgKAEYeFhh9wAtk
2022-06-28;Artur Andrus;ZUPA NIC;|||;;;;
2022-06-28;Scorpions;SEVENTH SUN;Rock Believer (Deluxe)|2022-02-25|46|27T030eWyCQRmDyuvr1kxY;Rock Believer (Deluxe);2022-02-25;46.0;27T030eWyCQRmDyuvr1kxY
2022-06-28;Kaśka Sochacka;CICHE DNI;Ciche dni|2021-03-26|54|3ClL18AtCAPwXVT6mUkBDN;Ciche dni;2021-03-26;54.0;3ClL18AtCAPwXVT6mUkBDN
2022-06-28;Organek;FOTOGRAF BROK;Ocali Nas Miłość|2021-07-30|35|2cPIQ8eVSqSKGjBQXgi3WH;Ocali Nas Miłość;2021-07-30;35.0;2cPIQ8eVSqSKGjBQXgi3WH
2022-06-28;Krzysztof Zalewski;PTAKI (MTV UNPLUGGED);MTV Unplugged|2021-11-23|46|1U1eSs7M2ENf09cDx4lavK;MTV Unplugged;2021-11-23;46.0;1U1eSs7M2ENf09cDx4lavK
2022-06-28;Organek;IDZIEMY W MIASTO;Ocali Nas Miłość|2021-07-30|35|2cPIQ8eVSqSKGjBQXgi3WH;Ocali Nas Miłość;2021-07-30;35.0;2cPIQ8eVSqSKGjBQXgi3WH
